"","Trench","Square","Unit","Lithic_Type","Counts","Mass","Recorder","Date","Context"
"1","A","SW1",1,"Flake",1,0.3,"CC","28-Jul-08","1"
"2","A","SW2",2,"Flake",1,18.4,"HVV","28-Jul-08","1"
"3","A","SW5",9,"Flake",20,73.6,"CC","28-Jul-08","4"
"4","A","SW6",12,"Flake",3,6.1,"HVV","28-Jul-08","5"
"5","A","SW6",13,"Flake",8,13.3,"CC","28-Jul-08","5"
"6","A","SW9",16,"Flake",2,2.7,"HVV","28-Jul-08","6"
"7","A","SW11",17,"Flake",2,6.3,"HVV","28-Jul-08","7H"
"8","A","SW14",19,"Flake",1,0.9,"HVV","28-Jul-08","8"
"9","A","SW15",19,"Flake",2,2.6,"HVV","28-Jul-08","8"
"10","A","SW/SE17,18,19",24,"Flake",4,41,"CC","28-Jul-08","7L"
"11","A","SW19",27,"Flake",2,9.7,"HVV","28-Jul-08","7L"
"12","A","SW20",27,"Flake",2,7.1,"HVV","28-Jul-08","7L"
